0.286	0.314	0.377	0.298	NaN	NaN	NaN	0.315	NaN	NaN	NaN	0.258049188	0.243689295	0.307380161	0.257267661	0.183864749	1982
0.363	0.329	0.293	0.436	NaN	NaN	NaN	0.431	NaN	NaN	NaN	0.346517376	0.296416677	0.331687205	0.217131211	0.263724627	1981
0.322	0.322	0.344	0.352	NaN	NaN	NaN	0.364	NaN	NaN	NaN	0.339502803	0.336395992	0.429838589	0.36231115	0.386314987	1980
0.352	0.305	0.339	0.341	NaN	NaN	NaN	0.424	NaN	NaN	NaN	0.389820282	0.211780427	0.376637709	0.233961717	0.305663866	1979
0.332	0.346	0.361	0.330	NaN	NaN	NaN	0.392	NaN	NaN	NaN	0.34650029	0.197283554	0.286973267	0.340001677	NaN	1978
0.381	0.390	0.325	0.337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.426464863	0.288822151	0.38134781	0.317201548	NaN	1977
0.431	0.399	0.361	0.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.387377535	0.322337382	0.341862622	0.383564935	NaN	1976
0.388	0.382	0.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.413277167	0.334943569	0.424592112	0.306328294	NaN	1975
0.313	0.301	0.275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.363132825	0.328133531	0.384080352	0.367448945	NaN	1974
0.293	0.316	0.322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.359045995	0.304033986	NaN	0.325594669	NaN	1973
0.416	0.329	0.315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.30354823	0.198400017	NaN	0.222545126	NaN	1972
0.338	0.317	0.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.216151676	0.207461645	NaN	0.262589365	NaN	1971
0.447	0.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.327131472	0.294828779	NaN	0.270878697	NaN	1970
0.484	0.407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.388050849	0.411652224	NaN	0.306268901	NaN	1969
0.327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.396092945	0.278406956	NaN	NaN	NaN	1968
0.415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.410662284	0.237976645	NaN	NaN	NaN	1967
0.358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.293525395	0.249146671	NaN	NaN	NaN	1966
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.38710885	0.352160108	NaN	NaN	NaN	1965
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.43794903	0.282955396	NaN	NaN	NaN	1964
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.330551437	0.258627548	NaN	NaN	NaN	1963
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.334967265	0.273294797	NaN	NaN	NaN	1962
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.231225812	NaN	NaN	NaN	1961
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.241856601	NaN	NaN	NaN	1960
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.223021633	NaN	NaN	NaN	1959
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.327415549	NaN	NaN	NaN	1958
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.262051953	NaN	NaN	NaN	1957
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3682798	NaN	NaN	NaN	1956
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.253939086	NaN	NaN	NaN	1955
