3.9276,5.1634,0.43143
3.9484,5.1942,0.43177
3.9692,5.2251,0.43212
3.99,5.256,0.43246
4.0108,5.2869,0.4328
4.0315,5.3179,0.43315
4.0523,5.3488,0.43349
4.0731,5.3798,0.43384
4.0939,5.4109,0.43418
4.1147,5.4419,0.43452
4.1354,5.473,0.43487
4.1562,5.5041,0.43521
4.177,5.5353,0.43555
4.1978,5.5664,0.4359
4.2186,5.5976,0.43624
4.2394,5.6289,0.43659
4.2601,5.6601,0.43693
4.2809,5.6914,0.43727
4.3017,5.7227,0.43762
4.3225,5.754,0.43796
4.3433,5.7853,0.4383
4.364,5.8167,0.43865
4.3848,5.8481,0.43899
4.4056,5.8795,0.43934
4.4264,5.9109,0.43968
4.4472,5.9424,0.44002
4.4679,5.9739,0.44037
4.4887,6.0054,0.44071
4.5095,6.0369,0.44106
4.5303,6.0685,0.4414
4.5511,6.1001,0.44175
4.5718,6.1317,0.44209
4.5926,6.1633,0.44243
4.6134,6.1949,0.44278
4.6342,6.2266,0.44312
4.655,6.2583,0.44347
4.6758,6.29,0.44381
4.6965,6.3217,0.44415
4.7173,6.3534,0.4445
4.7381,6.3852,0.44484
4.7589,6.417,0.44519
4.7797,6.4488,0.44553
4.8004,6.4806,0.44588
4.8212,6.5125,0.44622
4.842,6.5444,0.44656
4.8628,6.5763,0.44691
4.8836,6.6082,0.44725
4.9043,6.6401,0.4476
4.9251,6.672,0.44794
4.9459,6.704,0.44829
4.9667,6.736,0.44863
4.9875,6.768,0.44898
5.0083,6.8,0.44932
5.029,6.832,0.44966
5.0498,6.8641,0.45001
5.0706,6.8962,0.45035
5.0914,6.9283,0.4507
5.1122,6.96,0.45104
5.1329,6.9796,0.45139
5.1537,6.9971,0.45173
5.1745,7.0146,0.45208
5.1953,7.0322,0.45242
5.2161,7.0498,0.45277
5.2368,7.0673,0.45311
5.2576,7.0849,0.45345
5.2784,7.1026,0.4538
5.2992,7.1202,0.45414
5.32,7.1379,0.45449
5.3408,7.1556,0.45483
5.3615,7.1733,0.45518
5.3823,7.191,0.45552
5.4031,7.2087,0.45587
5.4239,7.2265,0.45621
5.4447,7.2471,0.45656
5.4654,7.276,0.4569
5.4862,7.305,0.45724
5.507,7.334,0.45759
5.5278,7.3629,0.45793
5.5486,7.3919,0.45828
5.5693,7.4209,0.45862
5.5901,7.45,0.45897
5.6109,7.479,0.45931
5.6317,7.5081,0.45966
5.6525,7.5372,0.46
5.6732,7.5663,0.46035
5.694,7.5954,0.46069
5.7148,7.6245,0.46104
5.7356,7.6537,0.46138
5.7564,7.6829,0.46172
5.7772,7.714,0.46207
5.7979,7.754,0.46241
5.8187,7.7941,0.46276
5.8395,7.8342,0.4631
5.8603,7.8743,0.46345
5.8811,7.9144,0.46379
5.9018,7.9545,0.46414
5.9226,7.9947,0.46448
5.9434,8.0348,0.46483
5.9642,8.075,0.46517
5.985,8.1152,0.46551
6.0057,8.1555,0.46586
6.0265,8.1957,0.4662
6.0473,8.236,0.46655
6.0681,8.2762,0.46689
6.0889,8.3166,0.46724
6.1097,8.3569,0.46758
6.1304,8.3972,0.46793
6.1512,8.4376,0.46827
6.172,8.478,0.46862
6.1928,8.5184,0.46896
6.2136,8.5588,0.4693
6.2343,8.5993,0.46965
6.2551,8.6398,0.46999
6.2759,8.6802,0.47034
6.2967,8.7207,0.47068
6.3175,8.7613,0.47103
6.3382,8.8019,0.47137
6.359,8.8424,0.47171
6.3798,8.883,0.47206
6.4006,8.9236,0.4724
6.4214,8.9643,0.47275
6.4422,9.0049,0.47309
6.4629,9.0456,0.47344
6.4837,9.0863,0.47378
6.5045,9.127,0.47412
6.5253,9.1678,0.47447
6.5461,9.2086,0.47481
6.5668,9.2493,0.47516
6.5876,9.2902,0.4755
6.6084,9.331,0.47585
6.6292,9.3719,0.47619
6.65,9.4127,0.47653
6.6707,9.4536,0.47688
6.6915,9.4945,0.47722
6.7123,9.5355,0.47757
6.7331,9.5765,0.47791
6.7539,9.6129,0.47825
6.7746,9.6489,0.4786
6.7954,9.685,0.47894
6.8162,9.7211,0.47929
6.837,9.7572,0.47963
6.8578,9.7933,0.47997
6.8786,9.8295,0.48032
6.8993,9.8657,0.48066
6.9201,9.9019,0.481
6.9409,9.9381,0.48135
6.9617,9.9744,0.48169
6.9825,10.011,0.48204
7.0032,10.047,0.48238
7.024,10.083,0.48272
7.0448,10.12,0.48307
7.0656,10.156,0.48341
7.0864,10.192,0.48375
7.1071,10.229,0.4841
7.1279,10.265,0.48444
7.1487,10.302,0.48478
7.1695,10.338,0.48513
7.1903,10.375,0.48547
7.2111,10.411,0.48581
7.2318,10.448,0.48616
7.2526,10.484,0.4865
7.2734,10.521,0.48684
7.2942,10.558,0.48719
7.315,10.594,0.48753
7.3357,10.63,0.48787
7.3565,10.663,0.48822
7.3773,10.696,0.48856
7.3981,10.729,0.4889
7.4189,10.762,0.48925
7.4396,10.796,0.48959
7.4604,10.829,0.48993
7.4812,10.862,0.49028
7.502,10.895,0.49062
7.5228,10.928,0.49096
7.5436,10.961,0.4913
7.5643,10.995,0.49165
7.5851,11.028,0.49199
7.6059,11.061,0.49233
7.6267,11.095,0.49268
7.6475,11.128,0.49302
7.6682,11.161,0.49336
7.689,11.195,0.4937
7.7098,11.228,0.49405
7.7306,11.261,0.49439
7.7514,11.295,0.49473
7.7721,11.328,0.49507
7.7929,11.362,0.49542
7.8137,11.395,0.49576
7.8345,11.429,0.4961
7.8553,11.463,0.49644
7.876,11.496,0.49678
7.8968,11.53,0.49713
7.9176,11.563,0.49747
7.9384,11.597,0.49781
7.9592,11.631,0.49815
7.98,11.664,0.4985
8.0007,11.698,0.49884
8.0215,11.732,0.49918
8.0423,11.766,0.49952
8.0631,11.8,0.49986
8.0839,11.833,0.5002
8.1046,11.867,0.50055
8.1254,11.901,0.50089
8.1462,11.935,0.50123
8.167,11.969,0.50157
8.1878,12.003,0.50191
8.2085,12.037,0.50225
8.2293,12.071,0.5026
8.2501,12.105,0.50294
8.2709,12.139,0.50328
8.2917,12.173,0.50362
8.3125,12.207,0.50396
8.3332,12.241,0.5043
8.354,12.276,0.50464
8.3748,12.309,0.50498
8.3956,12.342,0.50533
8.4164,12.375,0.50567
8.4371,12.408,0.50601
8.4579,12.441,0.50635
8.4787,12.475,0.50669
8.4995,12.508,0.50703
8.5203,12.541,0.50737
8.541,12.575,0.50771
8.5618,12.608,0.50805
8.5826,12.641,0.50839
8.6034,12.675,0.50873
8.6242,12.708,0.50907
8.6449,12.741,0.50941
8.6657,12.775,0.50975
